Entity Name,Attribute Name,Data Type,Length,Key (P/F),Table Name of Foreign Key,Constraints,Description,,,,,,
,Network Telstra Whip,Text,14,,,,, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown
,Raw Array Telstra Whip,Array,,,,,, [], [], [], [], [], []
,Modem Status Telstra Whip,Text,37,,,,, , , , , , 
,,,,,,,,,,,,,
ExternalTest,ExternalID,,,,,,,,,,,,
,RSSI External Modem,Number,,,,,,0, 0.0, 0.0,9, 0.0, 0.0
,RSCP External Modem,Number,,,,,,0, 0.0, 0.0, 0.0, 0.0, 0.0
,RSRP External Modem,Number,,,,,,0, 0.0, 0.0, 0.0, 0.0, 0.0
,Timeout External Modem,Bool,,,,,, False, False, False, False, False, False
,Network External Modem,Text,14,,,,, Unknown, Unknown, Unknown," ""vodafone AU""", Unknown, Unknown
,Raw Array External Modem,Array,,,,,, [], [], []," [""9_99-I"", ""9_99-I"", ""9_99-I"", ""9_99-I"", ""9_99-I"", ""9_99-I"", ""9_99-I"", ""9_99-I"", ""9_99-I"", ""9_99-I"", ""9_99-I"", ""9_99-I"", ""9_99-I"", ""9_99-I"", ""9_99-I"", ""9_99-I"", ""9_99-I"", ""9_99-I"", ""9_99-I"", ""9_99-I"", ""9_99-I"", ""9_99-I"", ""9_99-I"", ""9_99-I"", ""9_99-I"", ""9_99-I"", ""9_99-I"", ""9_99-I"", ""9_99-I"", ""9_99-I""]", [], []
,Modem Status External,Text,37,,,,, , , ," Registered, Roaming", , 
,,,,,,,,,,,,,
Threshold,ThresholdID,,,,,,,,,,,,
,RSSI Threshold,Number,,,,,,6,6,6,6,6,6
,RSSI Higher Threshold,Number,,,,,,12,12,12,12,12,12
,RSCP Threshold,Number,,,,,,15,15,15,15,15,15
,RSCP Higher Threshold,Number,,,,,,30,30,30,30,30,30
,RSRP Threshold,Number,,,,,,10,10,10,10,10,10
,RSRP Higher Threshold,Number,,,,,,20,20,20,20,20,20
,,,,,,,,,,,,,
TestingDevice,BT Signal,,,,,,," [-76.0, -72.0, -66.0]"," [-59.0, -52.0]"," [-83.0, -74.0, -79.0]"," [-91.0, -87.0, -81.0, -70.0, -86.0, -74.0, -76.0]"," [-76.0, -69.0, -69.0, -76.0, -73.0, -76.0]"," [-76.0, -85.0]"
,Bluetooth Name,,,,,,, CORSSRAY, REAPER, DIXIE, ASSAM, DAIBRAVE, CARIVOU
,Device Type,,,,,,, iPad Air," iPad6,12", iPad Air," iPad6,12"," iPad7,2", iPad Air
,SIM Vodafone,,,,,,,8.93144E+19, 89314404000248157530, 89314404000266650267, , 89314404000248233075, 89314404000281178914
,SIM Telstra,,,,,,,8.96102E+19, 89610180002243817774, 89610180002249046930, , 89610180002249047685,8.96102E+19
,SIM External,,,,,,, , , , 89314404000266723023, , 
,Serial No,,,,,,, SDS-043C, SDS-196B, SDS-061C, SDS-008C, SDS-049C, SDS-026C
,Firmware No,,,,,,, GAT-17R3, GAT-17R3, GAT-17R3, GAT-17R3, GAT-17R3, GAT-17R3
,App Version No,,,,,,, 2.2.5, 2.2.5, 2.2.5, 2.2.5, 2.2.5, 2.2.5
,Battery Level,,,,,,,3.92,3.92,3.88,3.94,3.69,3.88
,Modem Type,,,,,,, EWM400, EWM400, EWM400, EWM1000, EWM400, EWM400
